Timestamp,acc68X,acc68Y,acc68Z,acc69X,acc69Y,acc69Z
1748188775.373683,-0.03515625,-0.09326171875,-1.0439453125,0.24658203125,0.97216796875,-0.0400390625
1748188775.4267728,-0.03662109375,-0.0947265625,-1.037109375,0.24365234375,0.96630859375,-0.02880859375
1748188775.4802992,-0.03564453125,-0.0947265625,-1.04296875,0.25,0.9775390625,-0.03564453125
1748188775.533369,-0.03955078125,-0.09619140625,-1.05078125,0.2490234375,0.98193359375,-0.02685546875
1748188775.5858126,-0.03564453125,-0.0986328125,-1.06591796875,0.25048828125,0.990234375,-0.0283203125
1748188775.6382456,-0.03759765625,-0.0966796875,-1.05517578125,0.24853515625,0.9794921875,-0.03662109375
1748188775.6907885,-0.041015625,-0.09423828125,-1.05029296875,0.24560546875,0.97021484375,-0.02880859375
1748188775.7433357,-0.04150390625,-0.09326171875,-1.04345703125,0.24658203125,0.97509765625,-0.02099609375
1748188775.795991,-0.0341796875,-0.09326171875,-1.04443359375,0.24755859375,0.97802734375,-0.03759765625
1748188775.8487098,-0.03564453125,-0.095703125,-1.0517578125,0.2529296875,0.98193359375,-0.03515625
1748188775.9012463,-0.0361328125,-0.0927734375,-1.05224609375,0.26416015625,0.99365234375,-0.03564453125
1748188775.9538083,-0.0302734375,-0.09423828125,-1.0556640625,0.2578125,0.98779296875,-0.03173828125
1748188776.0063376,-0.0283203125,-0.09521484375,-1.0400390625,0.25,0.9755859375,-0.0341796875
1748188776.0588887,-0.0302734375,-0.09326171875,-1.037109375,0.25830078125,0.98681640625,-0.04052734375
1748188776.111443,-0.03125,-0.09228515625,-1.0400390625,0.25830078125,0.974609375,-0.04638671875
1748188776.1639726,-0.0283203125,-0.09521484375,-1.04833984375,0.2578125,0.9775390625,-0.04248046875
1748188776.2165391,-0.025390625,-0.09130859375,-1.05126953125,0.267578125,0.98828125,-0.03466796875
1748188776.269207,-0.02587890625,-0.09033203125,-1.04248046875,0.26904296875,0.9833984375,-0.02978515625
1748188776.321738,-0.02783203125,-0.091796875,-1.04443359375,0.265625,0.9912109375,-0.03271484375
1748188776.3745754,-0.02294921875,-0.08984375,-1.0419921875,0.26708984375,0.982421875,-0.037109375
