Time,Axis_0_Value,Axis_1_Value
1744358981.2218878,1,2
1744358981.222242,1,2
1744358981.2223115,1,2
1744358981.2223647,1,2
1744358981.2224188,1,2
1744358981.222472,1,2
1744358981.2225251,1,2
1744358981.2225788,1,2
1744358981.2226303,1,2
1744358981.2226825,1,2
1744358981.222733,1,2
1744358981.2227836,1,2
1744358981.2228334,1,2
1744358981.222882,1,2
1744358981.2229302,1,2
1744358981.2229793,1,2
1744358981.2230287,1,2
1744358981.2230773,1,2
1744358981.223126,1,2
1744358981.2231758,1,2
1744358981.223224,1,2
1744358981.2232742,1,2
1744358981.2233243,1,2
1744358981.2233727,1,2
1744358981.2234228,1,2
1744358981.223472,1,2
1744358981.223521,1,2
1744358981.22357,1,2
1744358981.2236176,1,2
1744358981.2236657,1,2
1744358981.2237134,1,2
1744358981.2237608,1,2
1744358981.22381,1,2
1744358981.2238576,1,2
1744358981.2239058,1,2
1744358981.223954,1,2
1744358981.2240024,1,2
1744358981.2240505,1,2
1744358981.2240982,1,2
1744358981.224146,1,2
1744358981.2241948,1,2
1744358981.224243,1,2
1744358981.224291,1,2
1744358981.2243392,1,2
1744358981.2243872,1,2
1744358981.2244349,1,2
1744358981.2244835,1,2
1744358981.224641,1,2
1744358981.2247329,1,2
1744358981.2247844,1,2
1744358981.2248337,1,2
1744358981.2248821,1,2
1744358981.2249312,1,2
1744358981.2249808,1,2
1744358981.2250292,1,2
1744358981.2250772,1,2
1744358981.2251253,1,2
1744358981.2251742,1,2
1744358981.2252223,1,2
1744358981.22527,1,2
1744358981.2253182,1,2
1744358981.2253664,1,2
1744358981.2254138,1,2
1744358981.225462,1,2
1744358981.2255137,1,2
1744358981.225562,1,2
1744358981.22561,1,2
1744358981.2256577,1,2
1744358981.2257056,1,2
1744358981.2257535,1,2
1744358981.2258017,1,2
1744358981.2258496,1,2
1744358981.2258976,1,2
1744358981.2259457,1,2
1744358981.226021,1,2
1744358981.2260706,1,2
1744358981.226121,1,2
1744358981.2261693,1,2
1744358981.226217,1,2
1744358981.2262647,1,2
1744358981.2263129,1,2
1744358981.2263608,1,2
1744358981.2264087,1,2
1744358981.2264569,1,2
1744358981.226505,1,2
1744358981.2265527,1,2
1744358981.226601,1,2
1744358981.2266486,1,2
1744358981.2266963,1,2
1744358981.2267444,1,2
1744358981.2267923,1,2
1744358981.2268403,1,2
1744358981.226889,1,2
1744358981.2269368,1,2
1744358981.226985,1,2
1744358981.2270331,1,2
1744358981.227081,1,2
1744358981.2271287,1,2
1744358981.2272606,1,2
1744358981.2273223,1,2
1744358981.2273738,1,2
1744358981.2274222,1,2
1744358981.2274704,1,2
1744358981.2275183,1,2
1744358981.2275662,1,2
1744358981.2276142,1,2
1744358981.2276626,1,2
1744358981.2277107,1,2
1744358981.2277606,1,2
1744358981.227809,1,2
1744358981.2278569,1,2
1744358981.2279046,1,2
1744358981.2279527,1,2
1744358981.2280004,1,2
1744358981.2280483,1,2
1744358981.2280962,1,2
1744358981.2281442,1,2
1744358981.228192,1,2
1744358981.2282398,1,2
1744358981.2282877,1,2
1744358981.2283359,1,2
1744358981.2283838,1,2
1744358981.2284315,1,2
1744358981.2284791,1,2
1744358981.228527,1,2
1744358981.2285748,1,2
1744358981.2286227,1,2
1744358981.2286708,1,2
1744358981.2287197,1,2
1744358981.2287672,1,2
1744358981.2288158,1,2
1744358981.2288637,1,2
1744358981.2289116,1,2
1744358981.2289593,1,2
1744358981.2290072,1,2
1744358981.2290556,1,2
1744358981.2291038,1,2
1744358981.2291517,1,2
1744358981.2292006,1,2
1744358981.229249,1,2
1744358981.229297,1,2
1744358981.2293446,1,2
1744358981.2293923,1,2
1744358981.2294402,1,2
1744358981.229488,1,2
1744358981.2295358,1,2
1744358981.2295835,1,2
1744358981.2296317,1,2
1744358981.2296805,1,2
1744358981.2297287,1,2
1744358981.2297773,1,2
1744358981.2298343,1,2
1744358981.2298834,1,2
1744358981.229932,1,2
1744358981.229998,1,2
1744358981.2300503,1,2
1744358981.2300987,1,2
1744358981.2301471,1,2
1744358981.2301953,1,2
1744358981.2302434,1,2
1744358981.2302914,1,2
1744358981.2303395,1,2
1744358981.2303872,1,2
1744358981.2304351,1,2
1744358981.2304833,1,2
1744358981.230531,1,2
1744358981.2305787,1,2
1744358981.2306266,1,2
1744358981.2306743,1,2
1744358981.2307217,1,2
1744358981.2307696,1,2
1744358981.2308176,1,2
1744358981.2308671,1,2
1744358981.2309148,1,2
1744358981.2309632,1,2
1744358981.2310114,1,2
1744358981.2310593,1,2
1744358981.231107,1,2
1744358981.2311544,1,2
1744358981.2312026,1,2
1744358981.2312505,1,2
1744358981.2312982,1,2
1744358981.2313468,1,2
1744358981.2313948,1,2
1744358981.2314425,1,2
1744358981.2314904,1,2
1744358981.2315385,1,2
1744358981.231587,1,2
1744358981.2316346,1,2
1744358981.2316828,1,2
1744358981.2317317,1,2
1744358981.2317808,1,2
1744358981.2318292,1,2
1744358981.2318776,1,2
1744358981.2319255,1,2
1744358981.231974,1,2
1744358981.2320218,1,2
1744358981.2320697,1,2
1744358981.2321174,1,2
1744358981.2321656,1,2
1744358981.2322145,1,2
1744358981.2322693,1,2
1744358981.2323177,1,2
1744358981.232366,1,2
1744358981.232414,1,2
1744358981.2324615,1,2
1744358981.2325096,1,2
1744358981.2325578,1,2
1744358981.2326057,1,2
1744358981.2326539,1,2
1744358981.2327018,1,2
1744358981.2327495,1,2
1744358981.2327974,1,2
1744358981.2328455,1,2
1744358981.2328932,1,2
1744358981.2329416,1,2
1744358981.2329895,1,2
1744358981.2330372,1,2
1744358981.2330854,1,2
1744358981.2331336,1,2
1744358981.2331817,1,2
1744358981.2332296,1,2
1744358981.2332778,1,2
1744358981.2333255,1,2
1744358981.2333736,1,2
1744358981.2334218,1,2
1744358981.2334697,1,2
1744358981.2335176,1,2
1744358981.233566,1,2
1744358981.2336147,1,2
1744358981.2336624,1,2
1744358981.2337103,1,2
1744358981.233759,1,2
1744358981.233807,1,2
1744358981.2338555,1,2
1744358981.2339036,1,2
1744358981.2339518,1,2
1744358981.2340252,1,2
1744358981.2340775,1,2
1744358981.2341263,1,2
1744358981.2341747,1,2
1744358981.2342231,1,2
1744358981.2342718,1,2
1744358981.23432,1,2
1744358981.2343678,1,2
1744358981.2344155,1,2
1744358981.2344635,1,2
1744358981.2345114,1,2
1744358981.2345598,1,2
1744358981.2346075,1,2
1744358981.2346551,1,2
1744358981.2347033,1,2
1744358981.2347589,1,2
1744358981.2348075,1,2
1744358981.2348557,1,2
1744358981.2349036,1,2
1744358981.2349517,1,2
1744358981.2349992,1,2
1744358981.2350466,1,2
1744358981.2350943,1,2
1744358981.2351422,1,2
1744358981.23519,1,2
1744358981.2352376,1,2
1744358981.2352853,1,2
1744358981.2353334,1,2
1744358981.2353818,1,2
1744358981.2354302,1,2
1744358981.2355921,1,2
1744358981.2356517,1,2
1744358981.2357025,1,2
1744358981.2357514,1,2
1744358981.2358,1,2
1744358981.2358484,1,2
1744358981.235897,1,2
1744358981.2359455,1,2
1744358981.2359939,1,2
1744358981.2360425,1,2
1744358981.2360907,1,2
1744358981.2361386,1,2
1744358981.2361863,1,2
1744358981.2362342,1,2
1744358981.236282,1,2
1744358981.2363296,1,2
1744358981.236377,1,2
1744358981.2364247,1,2
1744358981.2364726,1,2
1744358981.2365205,1,2
1744358981.2365687,1,2
1744358981.2366161,1,2
1744358981.2366643,1,2
1744358981.2367122,1,2
1744358981.2367601,1,2
1744358981.2368078,1,2
1744358981.2368562,1,2
1744358981.2369041,1,2
1744358981.236952,1,2
1744358981.237,1,2
1744358981.2370486,1,2
1744358981.2370968,1,2
1744358981.237145,1,2
1744358981.2371926,1,2
1744358981.2372406,1,2
1744358981.2372885,1,2
1744358981.237351,1,2
1744358981.2373993,1,2
1744358981.2374475,1,2
1744358981.2374957,1,2
1744358981.2375436,1,2
1744358981.2375941,1,2
1744358981.2376425,1,2
1744358981.237691,1,2
1744358981.2377386,1,2
1744358981.2377872,1,2
1744358981.2378361,1,2
1744358981.2378848,1,2
1744358981.2379327,1,2
1744358981.2380238,1,2
1744358981.2380762,1,2
1744358981.2382174,1,2
1744358981.2382894,1,2
1744358981.2383413,1,2
1744358981.2383938,1,2
1744358981.2384446,1,2
1744358981.238494,1,2
1744358981.2385433,1,2
1744358981.2385921,1,2
1744358981.2386413,1,2
1744358981.2386906,1,2
1744358981.2387393,1,2
1744358981.2387886,1,2
1744358981.2388375,1,2
1744358981.2388864,1,2
1744358981.238936,1,2
1744358981.2389846,1,2
1744358981.2390337,1,2
1744358981.2390826,1,2
1744358981.2391312,1,2
1744358981.2391806,1,2
1744358981.2392294,1,2
1744358981.2392786,1,2
1744358981.2393274,1,2
1744358981.239376,1,2
1744358981.239425,1,2
1744358981.2394736,1,2
1744358981.239523,1,2
1744358981.2395718,1,2
1744358981.239621,1,2
