Time,Goal_Position_0,Goal_Position_1,Present_Position_0,Present_Position_1
1746284790.4312112,151802.86325972184,-151802.86325972184,0,-1757
1746284790.468815,148991.56425195906,-148991.56425195906,825,-3233
1746284790.5009537,142238.60392150408,-142238.60392150408,3866,-6765
1746284790.532803,131874.98683364227,-131874.98683364227,8528,-11924
1746284790.5648572,118165.73711673378,-118165.73711673378,15042,-19063
1746284790.5967705,101803.95005030576,-101803.95005030576,23497,-27655
1746284790.628751,83354.05113446721,-83354.05113446721,32963,-37125
1746284790.660719,63589.572423959726,-63589.572423959726,42312,-46737
1746284790.6927865,43250.881214741705,-43250.881214741705,51121,-55023
1746284790.724746,23258.475598464152,-23258.475598464152,58015,-61370
1746284790.7566984,4363.8823897136945,-4363.8823897136945,63050,-65926
1746284790.7887552,-12699.085521992196,12699.085521992196,66350,-68582
1746284790.820738,-27189.279031388047,27189.279031388047,67648,-69443
1746284790.8528655,-38544.52725849734,38544.52725849734,67321,-68537
1746284790.8847477,-46317.51575969915,46317.51575969915,64939,-65684
1746284790.9168866,-50191.7445087559,50191.7445087559,60718,-60806
1746284790.9487302,-50532.74817387558,50532.74817387558,54732,-54239
1746284790.9807634,-50056.09120433562,50056.09120433562,46758,-46065
1746284791.0126815,-49130.38249091483,49130.38249091483,37422,-36571
1746284791.0447638,-47753.583702222415,47753.583702222415,27982,-27263
1746284791.0767393,-45937.04920096444,45937.04920096444,18722,-17487
1746284791.1087463,-43685.62574618236,43685.62574618236,9196,-8359
1746284791.1406987,-41013.71441349359,41013.71441349359,-260,1390
1746284791.1727448,-37925.614419933365,37925.614419933365,-9738,10524
1746284791.2046788,-34447.09922926698,34447.09922926698,-18932,19894
1746284791.2367704,-30574.142874072288,30574.142874072288,-26359,26911
1746284791.268912,-26352.845672318475,26352.845672318475,-30737,30739
1746284791.3007221,-21776.587373593877,21776.587373593877,-29639,28992
1746284791.3328967,-16850.959189139583,16850.959189139583,-27282,26425
1746284791.3647268,-11670.062551565003,11670.062551565003,-23272,21455
1746284791.396718,-6190.400216432977,6190.400216432977,-17864,16783
1746284791.4287107,-455.0295330465382,455.0295330465382,-13135,11618
1746284791.4606957,5509.935242780317,-5509.935242780317,-7761,6359
1746284791.4927087,11675.817805032086,-11675.817805032086,-2309,705
1746284791.5247242,18025.402074742226,-18025.402074742226,3202,-4795
1746284791.5567274,24511.274935535348,-24511.274935535348,9133,-10804
1746284791.588713,31121.089107809425,-31121.089107809425,15039,-16668
1746284791.6206858,37807.9157022878,-37807.9157022878,21193,-22820
1746284791.6527097,44565.31952316609,-44565.31952316609,27471,-29129
1746284791.684869,51346.3306760079,-51346.3306760079,33885,-35563
1746284791.7166634,58114.77082194211,-58114.77082194211,40306,-42084
1746284791.7488735,64897.67371376074,-64897.67371376074,46922,-48668
1746284791.7807078,71541.14636047636,-71541.14636047636,53521,-55299
1746284791.8127134,78126.13370763892,-78126.13370763892,60143,-61943
1746284791.8447213,84587.53539869787,-84587.53539869787,66879,-68600
1746284791.876721,90895.07400008725,-90895.07400008725,73415,-75405
1746284791.9087603,97025.06102742413,-97025.06102742413,80044,-81948
1746284791.9407368,102940.96598854993,-102940.96598854993,86507,-88188
1746284791.9726882,108620.4260815296,-108620.4260815296,92844,-94701
1746284792.004666,114038.93826522118,-114038.93826522118,99127,-100709
1746284792.0367167,119183.37231020478,-119183.37231020478,103992,-106681
1746284792.0688329,124026.99707885773,-124026.99707885773,110961,-112435
1746284792.1008742,128512.23623713534,-128512.23623713534,116538,-117980
1746284792.1327527,132664.58968291405,-132664.58968291405,121803,-123205
1746284792.1649227,136466.71176325378,-136466.71176325378,126856,-128105
1746284792.196724,139843.20592082228,-139843.20592082228,131494,-132694
1746284792.228673,142835.3242509097,-142835.3242509097,135777,-136826
1746284792.2607458,145421.31677828904,-145421.31677828904,139640,-140596
1746284792.2927828,147575.5966624371,-147575.5966624371,143045,-143837
1746284792.3247192,149296.32543506025,-149296.32543506025,145964,-146702
1746284792.356709,150573.76667460855,-150573.76667460855,148302,-148819
1746284792.3887262,151402.7009058092,-151402.7009058092,150092,-150448
1746284792.4206853,151778.35463278208,-151778.35463278208,151262,-151428
1746284792.4530847,151802.8634499231,-151802.8634499231,151734,-151757
1746284792.4847298,149790.82580258604,-149790.82580258604,151771,-151755
1746284792.516789,143792.56345971464,-143792.56345971464,151233,-150724
1746284792.5486944,134023.25363478033,-134023.25363478033,148615,-147560
1746284792.580871,120816.7987458804,-120816.7987458804,144172,-142768
1746284792.6127148,104938.15205974261,-104938.15205974261,138260,-136003
1746284792.6447403,86784.7105671426,-86784.7105671426,130144,-127451
1746284792.6766663,67209.57722694046,-67209.57722694046,120470,-117958
1746284792.7086816,46933.261085227175,-46933.261085227175,111055,-108632
1746284792.740708,26802.574277278538,-26802.574277278538,101787,-98850
1746284792.7726746,7647.715259224942,-7647.715259224942,92211,-89721
1746284792.8046432,-9776.605924623495,9776.605924623495,82786,-80256
1746284792.8366861,-24792.529007167923,24792.529007167923,73307,-70794
1746284792.868742,-36754.56129080867,36754.56129080867,65650,-61327
1746284792.9008956,-45235.46025511921,45235.46025511921,54403,-51882
1746284792.9328463,-49783.73904134305,49783.73904134305,45231,-42427
1746284792.9646637,-50570.32661740852,50570.32661740852,35500,-32964
1746284792.9968657,-50172.64127547604,50172.64127547604,26007,-23520
1746284793.0286653,-49330.24346577689,49330.24346577689,16882,-14064
1746284793.0606792,-48034.548152575284,48034.548152575284,7391,-4621
1746284793.0926645,-46296.9957050814,46296.9957050814,-2324,4833
1746284793.1246724,-44124.67231443823,44124.67231443823,-11795,14273
1746284793.1567101,-41522.909190738224,41522.909190738224,-20928,23645
1746284793.1886551,-38515.30300519084,38515.30300519084,-29562,31425
1746284793.220656,-35102.760087415496,35102.760087415496,-35930,37312
1746284793.25269,-31304.767899506583,31304.767899506583,-40478,41377
1746284793.2848396,-27136.596676028195,27136.596676028195,-43187,43571
1746284793.3166442,-22628.063135816585,22628.063135816585,-44025,43941
1746284793.348828,-17775.06903562998,17775.06903562998,-43094,42481
1746284793.3806224,-12639.372099557853,12639.372099557853,-40267,39056
1746284793.4127998,-7176.963291457181,7176.963291457181,-35570,33837
1746284793.4446237,-1515.231214121989,1515.231214121989,-28861,26746
1746284793.476651,4417.338257411333,-4417.338257411333,-20460,18209
1746284793.5086477,10551.085451005138,-10551.085451005138,-12119,10123
1746284793.5406606,16865.14997419147,-16865.14997419147,-4457,2404
1746284793.5726526,23332.293201731212,-23332.293201731212,2924,-5254
1746284793.6046479,29919.112411571812,-29919.112411571812,10297,-12173
1746284793.6366482,36598.60913155031,-36598.60913155031,17405,-19234
1746284793.668611,43338.07764046127,-43338.07764046127,24148,-26165
1746284793.7007976,50119.26208505324,-50119.26208505324,31001,-33047
1746284793.7326608,56899.2331998852,-56899.2331998852,38135,-39904
1746284793.7650244,63689.49827613784,-63689.49827613784,44900,-46929
1746284793.7968311,70372.91611285826,-70372.91611285826,51788,-53521
1746284793.8287113,76954.05458948716,-76954.05458948716,58510,-60349
1746284793.8608925,83473.08430879656,-83473.08430879656,65369,-67091
1746284793.892653,89765.26179202725,-89765.26179202725,71990,-73801
1746284793.9246693,95929.10884167612,-95929.10884167612,78658,-80603
1746284793.9570093,101890.01372036854,-101890.01372036854,85243,-87103
1746284793.988686,107617.84530499057,-107617.84530499057,91566,-93462
1746284794.0206845,113090.35394291334,-113090.35394291334,97931,-99535
1746284794.052682,118278.37948051088,-118278.37948051088,103982,-105550
1746284794.0849125,123181.25584247756,-123181.25584247756,109866,-111543
1746284794.1167815,127724.56968029487,-127724.56968029487,115532,-116980
1746284794.1486695,131941.24315727115,-131941.24315727115,120875,-122263
1746284794.181015,135829.26256487347,-135829.26256487347,125971,-127218
1746284794.2129195,139259.38529279374,-139259.38529279374,130675,-132006
1746284794.2447686,142335.25834342817,-142335.25834342817,135022,-136111
1746284794.2766807,144985.6231737757,-144985.6231737757,138955,-139953
1746284794.3088832,147219.23110038912,-147219.23110038912,141852,-143371
1746284794.3407068,149019.75217814968,-149019.75217814968,145474,-146242
1746284794.372671,150376.34459548155,-150376.34459548155,147922,-148471
1746284794.404661,151286.23942145496,-151286.23942145496,149825,-150243
1746284794.436863,151744.20167809568,-151744.20167809568,150907,-151324
1746284794.469131,151802.86346320884,-151802.86346320884,151695,-151739
1746284794.5006363,149806.28748773065,-149806.28748773065,151767,-151748
1746284794.532982,143808.45737204063,-143808.45737204063,151472,-150723
1746284794.5648768,133977.39517518663,-133977.39517518663,148727,-147559
1746284794.5967903,120877.14951541896,-120877.14951541896,144174,-142765
1746284794.6286554,104992.4975664446,-104992.4975664446,138029,-136002
1746284794.6608746,86844.02628598454,-86844.02628598454,130145,-127163
1746284794.6926432,67256.08478235806,-67256.08478235806,120473,-117958
1746284794.7246706,46967.6526391372,-46967.6526391372,111347,-108631
1746284794.756675,26848.25594263363,-26848.25594263363,100585,-99149
1746284794.788893,7580.464163043719,-7580.464163043719,92204,-89423
1746284794.8206599,-9754.3386010536,9754.3386010536,82783,-80262
1746284794.8526375,-24744.573237318433,24744.573237318433,73312,-70792
1746284794.8846405,-36729.98062688087,36729.98062688087,64171,-61333
1746284794.9168122,-45182.09398519588,45182.09398519588,54403,-51580
1746284794.9487772,-49777.74844624044,49777.74844624044,44932,-42421
1746284794.980634,-50570.704613677684,50570.704613677684,35500,-32957
1746284795.0129428,-50176.41348529047,50176.41348529047,27791,-23513
1746284795.0449278,-49324.801293099714,49324.801293099714,16585,-14057
1746284795.0766394,-48038.0638646908,48038.0638646908,7396,-4614
1746284795.1086533,-46300.81498817618,46300.81498817618,-2321,4831
1746284795.140867,-44129.42067396567,44129.42067396567,-11798,14578
1746284795.1726403,-41531.65130256317,41531.65130256317,-20930,23646
1746284795.2046475,-38520.11615547308,38520.11615547308,-29563,31426
1746284795.237311,-35081.979234083534,35081.979234083534,-34880,37471
1746284795.268671,-31311.297362806356,31311.297362806356,-40483,41380
1746284795.3010223,-27149.76400134045,27149.76400134045,-43188,43616
1746284795.3326297,-22637.34062656054,22637.34062656054,-44030,43948
1746284795.3648176,-17792.651781151046,17792.651781151046,-43156,42484
1746284795.3969,-12644.579728397204,12644.579728397204,-40149,38923
1746284795.428791,-7186.920273680782,7186.920273680782,-35404,33843
1746284795.4606361,-1520.0828001858597,1520.0828001858597,-28866,26749
1746284795.492638,4407.041453861228,-4407.041453861228,-20735,18219
1746284795.5248563,10578.236357780936,-10578.236357780936,-12124,9885
1746284795.5565872,16846.093047973933,-16846.093047973933,-4462,2405
1746284795.5886328,23319.007796974904,-23319.007796974904,3163,-5035
1746284795.6209311,29907.091858503692,-29907.091858503692,10074,-12377
1746284795.6526136,36584.54567145101,-36584.54567145101,16009,-19230
1746284795.6848757,43378.55274039462,-43378.55274039462,24127,-26159
1746284795.7166286,50106.78022471121,-50106.78022471121,29658,-33046
1746284795.7486515,56888.89368936444,-56888.89368936444,37916,-39904
1746284795.7807763,63633.723804897636,-63633.723804897636,43602,-46721
1746284795.8129108,70380.54838712131,-70380.54838712131,51593,-53541
1746284795.8447292,76954.05458948716,-76954.05458948716,58478,-60350
1746284795.8768537,83414.43454198337,-83414.43454198337,64043,-67307
1746284795.908648,89754.82382989897,-89754.82382989897,72009,-73790
1746284795.9406328,95915.64408668531,-95915.64408668531,77377,-80592
1746284795.9728386,101911.35850576013,-101911.35850576013,85040,-86906
1746284796.0046165,107600.51748014365,-107600.51748014365,91588,-93488
1746284796.0366302,113074.92976843668,-113074.92976843668,97754,-99537
1746284796.0688584,118266.35547412778,-118266.35547412778,102864,-105736
1746284796.1006846,123159.52370810299,-123159.52370810299,109690,-111369
1746284796.1326182,127711.93818166596,-127711.93818166596,114325,-116980
1746284796.1646395,131932.19212182364,-131932.19212182364,120880,-122247
1746284796.1970649,135808.79221033322,-135808.79221033322,125817,-127212
1746284796.2286305,139250.34314064475,-139250.34314064475,130534,-131861
1746284796.260792,142335.0022433616,-142335.0022433616,135035,-136099
1746284796.2926247,144978.7109474028,-144978.7109474028,138962,-139944
1746284796.3248935,147227.19691752884,-147227.19691752884,142364,-143267
1746284796.3566017,149013.64037917097,-149013.64037917097,145475,-146163
1746284796.388619,150373.30766573965,-150373.30766573965,147854,-148468
1746284796.4207792,151284.2741954003,-151284.2741954003,149768,-150240
1746284796.452611,151743.52535380845,-151743.52535380845,151071,-151298
1746284796.4851353,151802.86346320884,-151802.86346320884,151691,-151737
1746284796.5168104,149807.21630712043,-149807.21630712043,151768,-151748
1746284796.548925,143810.52424049092,-143810.52424049092,151276,-150722
1746284796.5806642,134054.65388261265,-134054.65388261265,148614,-147561
1746284796.612789,120871.25843598874,-120871.25843598874,144331,-142765
1746284796.6446035,105013.59047019109,-105013.59047019109,138028,-136000
1746284796.6769116,86799.29308051155,-86799.29308051155,130144,-127456
1746284796.7086105,67275.67370010789,-67275.67370010789,120469,-117950
1746284796.7406542,46986.893912305844,-46986.893912305844,111352,-108630
1746284796.7726452,26862.256188537114,-26862.256188537114,103561,-99156
1746284796.804786,7703.317820145145,-7703.317820145145,92496,-89713
1746284796.8365977,-9727.563137003011,9727.563137003011,83092,-80262
1746284796.8686016,-24742.24530299976,24742.24530299976,73598,-70791
1746284796.9005818,-36712.04928587903,36712.04928587903,64171,-61332
1746284796.9327714,-45204.487328097326,45204.487328097326,54403,-51877
1746284796.9647307,-49773.92314714154,49773.92314714154,44934,-42424
1746284796.996554,-50570.99548563056,50570.99548563056,35787,-32958
1746284797.0287528,-50175.51133975713,50175.51133975713,26009,-23511
1746284797.060632,-49332.67710925832,49332.67710925832,16881,-14059
1746284797.0927799,-48032.52356123521,48032.52356123521,7395,-4612
1746284797.1245987,-46303.598229435505,46303.598229435505,-2322,4835
1746284797.1566901,-44126.2552880391,44126.2552880391,-11800,14285
1746284797.188786,-41534.01391153841,41534.01391153841,-20933,23923
1746284797.2205603,-38527.8249031768,38527.8249031768,-29332,31423
1746284797.2526186,-35111.57397789979,35111.57397789979,-35763,37322
1746284797.2848253,-31318.894039322422,31318.894039322422,-40365,41373
1746284797.316847,-27155.392295649355,27155.392295649355,-42819,43579
1746284797.3485858,-22642.815832395943,22642.815832395943,-44028,43939
1746284797.380716,-17801.255511392108,17801.255511392108,-43153,42485
1746284797.4127455,-12653.810758756577,12653.810758756577,-40268,38919
1746284797.4447415,-7192.769613713109,7192.769613713109,-35574,33840
1746284797.4766095,-1523.6780668315942,1523.6780668315942,-28861,26747
1746284797.5085666,4396.565413421957,-4396.565413421957,-20734,18211
1746284797.5406961,10550.342910104766,-10550.342910104766,-12124,10129
1746284797.5727265,16867.91334023641,-16867.91334023641,-4702,2412
1746284797.6045668,23307.18275327967,-23307.18275327967,2924,-5027
1746284797.6367848,29935.387637343283,-29935.387637343283,10071,-12160
1746284797.6685774,36577.0385992995,-36577.0385992995,17396,-19225
1746284797.7005851,43322.351639808214,-43322.351639808214,24148,-26164
1746284797.7325757,50097.93680593064,-50097.93680593064,30984,-33034
1746284797.7646904,56900.897602731595,-56900.897602731595,37919,-39892
1746284797.7967043,63620.64403290607,-63620.64403290607,44886,-46715
1746284797.828589,70320.08171234591,-70320.08171234591,51593,-53530
1746284797.8608925,76940.9783596613,-76940.9783596613,58296,-60338
1746284797.8927827,83442.06408543067,-83442.06408543067,65129,-67077
1746284797.9245734,89744.33877658482,-89744.33877658482,71809,-73781
1746284797.9565785,95907.01346437151,-95907.01346437151,78651,-80383
1746284797.9885893,101866.40019752462,-101866.40019752462,85040,-86903
1746284798.0205522,107591.12185296712,-107591.12185296712,91385,-93278
1746284798.0527446,113066.10354165558,-113066.10354165558,97740,-99515
1746284798.0845668,118257.33633553177,-118257.33633553177,103791,-105540
1746284798.1165807,123147.50996221002,-123147.50996221002,109864,-111360
1746284798.1486166,127710.39995379481,-127710.39995379481,114488,-116965
1746284798.1808348,131946.41435252328,-131946.41435252328,120709,-122237
1746284798.212933,135802.1660808417,-135802.1660808417,125813,-127215
1746284798.2447324,139254.58431323638,-139254.58431323638,131240,-131888
1746284798.2767706,142333.7216936227,-142333.7216936227,134898,-136098
1746284798.308558,144975.00723020028,-144975.00723020028,138960,-139957
1746284798.340736,147211.99588793033,-147211.99588793033,142367,-143265
1746284798.3725357,149011.29518101114,-149011.29518101114,145466,-146160
1746284798.404584,150372.36802181436,-150372.36802181436,147848,-148465
1746284798.4366033,151283.77336188525,-151283.77336188525,149769,-150196
1746284798.4685643,151743.23951760662,-151743.23951760662,150902,-151296
1746284799.5888338,41608.33927582326,-4618.525659616382,-1,-1694
1746284799.620563,55917.882333565525,-6206.884939025773,496,-2770
1746284799.652573,69792.41609870501,-7746.958186956256,2398,-5483
1746284799.6845791,82959.31069515496,-9208.4834871622,7465,-7403
1746284799.7165766,95290.91702199262,-10577.29178944118,13532,-9023
1746284799.7485821,106662.0337143988,-11839.485742298266,21652,-10502
1746284799.780726,116987.29892675935,-12985.590180870287,31033,-11804
1746284799.8128154,126046.16934025034,-13991.124796767788,40441,-12976
1746284799.8445437,133895.81801454397,-14862.43579961438,49718,-14034
1746284799.8767347,140412.80667659023,-15585.821541101515,59272,-14910
1746284799.9085524,145451.8901069984,-16145.159801876824,68700,-15635
1746284799.9408376,149059.97116498853,-16545.656799313725,78178,-16177
1746284799.97254,151145.32073387786,-16777.13060146044,87921,-16580
1746284800.004547,151714.23554747074,-16840.280145769255,97061,-16803
1746284800.0365329,150751.3550075361,-16733.400405836506,104766,-16826
1746284800.068699,148267.63295306187,-16457.70725778987,115962,-16716
1746284800.1005528,144281.74421609007,-16015.273607985997,125462,-16402
1746284800.132546,138843.02850654107,-15411.576164226059,133780,-15967
1746284800.164737,132002.46712323686,-14652.27385067929,138712,-15351
1746284800.196661,123793.69061588253,-13741.09965836296,137918,-14564
1746284800.2286835,114400.46730810041,-12698.451871199146,135468,-13710
1746284800.2605736,103814.06782343527,-11523.361528401316,131397,-12665
1746284800.2927375,92119.27264268068,-10225.239263337555,126168,-11536
1746284800.324709,79635.92163339186,-8839.587301306496,117279,-10281
1746284800.35659,66251.5461809452,-7353.921626084916,107787,-8927
1746284800.3884747,52259.0919964324,-5800.759211603996,98098,-7461
1746284800.4205277,37682.29842056008,-4182.735124682168,89096,-5923
1746284800.4527137,22664.21836648766,-2515.7282386801303,79602,-4333
1746284800.4845061,7577.693401486332,-841.1239675649828,70135,-2726
1746284800.5165277,-7678.483122468292,852.3116265939805,60633,-1015
1746284800.5484915,-22833.20936508195,2534.4862395240966,51247,655
1746284800.5806882,-37840.90893481026,4200.340891763938,43565,2321
1746284800.6127894,-52453.32940494923,5822.319563949364,32308,4008
1746284800.6446505,-66361.7384575031,7366.152968782844,22874,5613
1746284800.676667,-79706.23519209126,8847.392106322131,13430,7217
1746284800.7086446,-92325.56879966345,10248.138136762644,3981,8720
1746284800.740509,-103898.49170446415,11532.73257919552,-5476,10148
1746284800.7724998,-114466.65871416974,12705.79911727284,-14895,11521
1746284800.8045745,-123902.47591299326,13753.174826342252,-22898,12697
1746284800.8366082,-132044.58316012652,14656.948730774046,-33795,13782
1746284800.868511,-138884.1515263533,15416.140819425216,-43284,14701
1746284800.9006407,-144310.33982409668,16018.44772047473,-52698,15469
1746284800.9325101,-148287.07822493193,16459.865682967444,-62176,16076
1746284800.9645183,-150763.1314317916,16734.707588928868,-71627,16495
1746284800.9964972,-151715.52078154188,16840.422806751147,-81069,16768
1746284801.0286765,-151136.89972072883,16776.195869000898,-90550,16822
1746284801.0606546,-149031.61790946437,16542.509587950546,-99970,16768
1746284801.092493,-145422.5518825906,16141.903258967557,-109459,16495
1746284801.1246772,-140328.8151153116,15576.498477799589,-118886,16098
1746284801.1565096,-133845.32440522316,14856.831008979772,-127988,15519
1746284801.188579,-125982.74580055001,13984.084783861052,-133962,14765
1746284801.2204905,-116882.44083727537,12973.950932937565,-132862,13936
1746284801.2525153,-106576.00188941194,11829.936209724727,-130475,12941
1746284801.2846236,-95164.92895386356,10563.307113878856,-126616,11790
1746284801.3164957,-82866.60884137749,9198.193581392901,-120074,10644
1746284801.3484747,-69702.49072889092,7736.976470906891,-112277,9207
1746284801.380494,-55820.6745336286,6196.094873232774,-102793,7857
1746284801.4124897,-41379.983925083485,4593.178215684266,-95129,6308
1746284801.4444792,-26520.250642790204,2943.747821349713,-83814,4715
1746284801.4766777,-11386.353536149047,1263.8852425125442,-74563,3144
1746284801.5085754,3826.9525062912553,-424.79172819832934,-65117,1456
1746284801.5406506,19127.58332699131,-2123.1617492960354,-55664,-222
1746284801.5724928,34065.153322421116,-3781.232018788744,-45901,-1891
1746284801.6044981,48735.89022385911,-5409.683814848361,-36777,-3622
1746284801.6369243,63011.939521724154,-6994.325286911381,-27289,-5212
1746284801.6685145,76451.22333838913,-8486.085790561194,-17872,-6828
1746284801.7004278,89197.06972292742,-9900.874739244944,-8390,-8378
1746284801.7324746,101075.7568248162,-11219.4090075546,1023,-9816
1746284801.7646918,111927.03093262957,-12423.900433521881,10501,-11185
1746284801.7965753,121664.11877359061,-13504.717183868557,19934,-12405
1746284801.8284745,130126.62301934214,-14444.055155146978,27611,-13547
1746284801.8604655,137299.34791136684,-15240.227618161722,38856,-14484
1746284801.8928027,143087.89512499978,-15882.756358874976,48252,-15307
