Time,Goal_Position_0,Goal_Position_1,Present_Position_0,Present_Position_1
1746285656.7068715,63118.93769933118,-63118.93769933118,44598,-46140
1746285656.7388813,69817.58066846535,-69817.58066846535,49776,-52954
1746285656.770869,76427.2683623498,-76427.2683623498,58341,-59752
1746285656.8030345,82920.22921646356,-82920.22921646356,65050,-66726
1746285656.8348608,89271.20809322217,-89271.20809322217,71804,-73218
1746285656.8670478,95476.27208446087,-95476.27208446087,78426,-79863
1746285656.898863,101416.94436536703,-101416.94436536703,84967,-86385
1746285656.930853,107167.36635020073,-107167.36635020073,91429,-92784
1746285656.9628656,112663.06122722731,-112663.06122722731,97701,-99021
1746285656.9948602,117874.86303207684,-117874.86303207684,102313,-105081
1746285657.0268772,122787.28987386657,-122787.28987386657,109697,-111103
1746285657.058845,127374.31730014838,-127374.31730014838,115370,-116531
1746285657.0908642,131616.33952145465,-131616.33952145465,120747,-121845
1746285657.1228461,135496.94488963578,-135496.94488963578,125808,-126836
1746285657.154997,138994.60004604058,-138994.60004604058,130569,-131513
1746285657.1868763,142096.44112197682,-142096.44112197682,134907,-135767
1746285657.219056,144799.9132348088,-144799.9132348088,138837,-139648
1746285657.2508545,147054.9461451295,-147054.9461451295,142351,-143022
1746285657.2830575,148898.85749994175,-148898.85749994175,145381,-145938
1746285657.3148682,150284.81046042845,-150284.81046042845,147835,-148306
1746285657.3468711,151230.0107907792,-151230.0107907792,149772,-150073
1746285657.3788412,151724.00939135728,-151724.00939135728,151076,-151269
1746285657.4136283,151802.86337634077,-151802.86337634077,151680,-151715
1746285657.4428606,150095.6308520857,-150095.6308520857,151763,-151748
1746285657.474863,144394.2994030283,-144394.2994030283,151164,-150722
1746285657.5068493,134917.18580755853,-134917.18580755853,148583,-147765
1746285657.5388298,122047.14452212115,-122047.14452212115,144255,-143059
1746285657.570968,106296.960561809,-106296.960561809,138151,-136508
1746285657.6028311,88298.86416369169,-88298.86416369169,130118,-128045
1746285657.6349769,68694.33515727978,-68694.33515727978,120709,-118632
1746285657.6668699,48501.24779697012,-48501.24779697012,111330,-109242
1746285657.6989126,28314.198889748,-28314.198889748,102043,-99811
1746285657.730801,9113.94696448256,-9113.94696448256,92661,-90361
1746285657.7628527,-8505.223962812614,8505.223962812614,83294,-80893
1746285657.794814,-23708.3897282925,23708.3897282925,73910,-71443
1746285657.8268402,-35930.2526400315,35930.2526400315,64547,-61981
1746285657.8587694,-44661.43230294087,44661.43230294087,55161,-52225
1746285657.8908293,-49568.18987363651,49568.18987363651,45756,-43057
1746285657.922813,-50582.12215114798,50582.12215114798,38725,-33293
1746285657.9548244,-50223.72764581339,50223.72764581339,26909,-24147
1746285657.9869907,-49411.84110939539,49411.84110939539,17559,-14671
1746285658.0188062,-48154.08397163968,48154.08397163968,8058,-5226
1746285658.0508804,-46443.49972013189,46443.49972013189,-1327,4242
1746285658.082758,-44314.71268258851,44314.71268258851,-10795,13697
1746285658.1147885,-41746.583531377124,41746.583531377124,-20260,23027
1746285658.1467612,-38769.232829831315,38769.232829831315,-29539,31004
1746285658.178784,-35386.70098920331,35386.70098920331,-36085,37033
1746285658.2107627,-31622.22186850961,31622.22186850961,-40453,41270
1746285658.2427661,-27486.389088012693,27486.389088012693,-43317,43661
1746285658.2748373,-22991.632118396363,22991.632118396363,-44393,44144
1746285658.3067076,-18185.478098615193,18185.478098615193,-43443,42788
1746285658.3387609,-13058.96218842452,13058.96218842452,-40569,39487
1746285658.3706229,-7661.48022913306,7661.48022913306,-35936,34553
1746285658.4028509,-1975.358718176085,1975.358718176085,-29538,27620
