Time,Axis_0_Value,Axis_1_Value
1744359095.8166294,1,2
1744359095.816685,1,2
1744359095.8167396,1,2
1744359095.8167944,1,2
1744359095.816849,1,2
1744359095.8169425,1,2
1744359095.8170087,1,2
1744359095.8170657,1,2
1744359095.8171203,1,2
1744359095.8171754,1,2
1744359095.81723,1,2
1744359095.8172848,1,2
1744359095.8173413,1,2
1744359095.8173985,1,2
1744359095.8174562,1,2
1744359095.817512,1,2
1744359095.8175676,1,2
1744359095.8176231,1,2
1744359095.8176777,1,2
1744359095.8177323,1,2
1744359095.8177867,1,2
1744359095.8178651,1,2
1744359095.817921,1,2
1744359095.8180032,1,2
1744359095.8180647,1,2
1744359095.8181195,1,2
1744359095.8181741,1,2
1744359095.818229,1,2
1744359095.818284,1,2
1744359095.8183389,1,2
1744359095.8183937,1,2
1744359095.818448,1,2
1744359095.818503,1,2
1744359095.8185575,1,2
1744359095.8186123,1,2
1744359095.818668,1,2
1744359095.8187222,1,2
1744359095.8187847,1,2
1744359095.8188407,1,2
1744359095.818895,1,2
1744359095.8189497,1,2
1744359095.8190043,1,2
1744359095.8190587,1,2
1744359095.819114,1,2
1744359095.8191695,1,2
1744359095.8192244,1,2
1744359095.8192797,1,2
1744359095.8193345,1,2
1744359095.8193886,1,2
1744359095.8194435,1,2
1744359095.8194995,1,2
1744359095.8195553,1,2
1744359095.8196106,1,2
1744359095.819666,1,2
1744359095.819721,1,2
1744359095.8197763,1,2
1744359095.8198318,1,2
1744359095.8198886,1,2
1744359095.8199456,1,2
1744359095.8200035,1,2
1744359095.8200607,1,2
1744359095.8201168,1,2
1744359095.8201733,1,2
1744359095.8202288,1,2
1744359095.8202834,1,2
1744359095.8203382,1,2
1744359095.8203933,1,2
1744359095.8204477,1,2
1744359095.820504,1,2
1744359095.8205585,1,2
1744359095.8206134,1,2
1744359095.820667,1,2
1744359095.8207448,1,2
1744359095.8208077,1,2
1744359095.820863,1,2
1744359095.8209186,1,2
1744359095.8209734,1,2
1744359095.8210745,1,2
1744359095.8211398,1,2
1744359095.8211956,1,2
1744359095.8212519,1,2
1744359095.821308,1,2
1744359095.8213634,1,2
1744359095.8214185,1,2
1744359095.8214731,1,2
1744359095.8215277,1,2
1744359095.8215826,1,2
1744359095.821638,1,2
1744359095.8216918,1,2
1744359095.821746,1,2
1744359095.8217995,1,2
1744359095.8218584,1,2
1744359095.821912,1,2
1744359095.8219655,1,2
1744359095.822047,1,2
1744359095.8221014,1,2
1744359095.8221552,1,2
1744359095.822209,1,2
1744359095.8222628,1,2
1744359095.8223166,1,2
1744359095.8223708,1,2
1744359095.822426,1,2
1744359095.822481,1,2
1744359095.8225348,1,2
1744359095.822589,1,2
1744359095.8226423,1,2
1744359095.8226962,1,2
1744359095.82275,1,2
1744359095.8228042,1,2
1744359095.822858,1,2
1744359095.8229117,1,2
1744359095.8229651,1,2
1744359095.823019,1,2
1744359095.8230822,1,2
1744359095.823136,1,2
1744359095.8231895,1,2
1744359095.823243,1,2
1744359095.8232963,1,2
1744359095.8233502,1,2
1744359095.8234043,1,2
1744359095.823459,1,2
1744359095.8235126,1,2
1744359095.8235662,1,2
1744359095.8237042,1,2
1744359095.8237762,1,2
1744359095.8238318,1,2
1744359095.8238888,1,2
1744359095.8239439,1,2
1744359095.824063,1,2
1744359095.8241313,1,2
1744359095.8241882,1,2
1744359095.8242435,1,2
1744359095.8242977,1,2
1744359095.8243523,1,2
1744359095.824406,1,2
1744359095.8244607,1,2
1744359095.8245158,1,2
1744359095.8245702,1,2
1744359095.8246262,1,2
1744359095.8246806,1,2
1744359095.8247352,1,2
1744359095.8247905,1,2
1744359095.824846,1,2
1744359095.8249002,1,2
1744359095.8249543,1,2
1744359095.8250082,1,2
1744359095.8250628,1,2
1744359095.8251166,1,2
1744359095.825171,1,2
1744359095.8252254,1,2
1744359095.82528,1,2
1744359095.8253345,1,2
1744359095.825389,1,2
1744359095.8254433,1,2
1744359095.8254993,1,2
1744359095.8255534,1,2
1744359095.825607,1,2
1744359095.8256881,1,2
1744359095.8257422,1,2
1744359095.8257968,1,2
1744359095.8258512,1,2
1744359095.8259063,1,2
1744359095.8259604,1,2
1744359095.8260903,1,2
1744359095.8261492,1,2
1744359095.8265014,1,2
1744359095.8265634,1,2
1744359095.8266203,1,2
1744359095.8266897,1,2
1744359095.8268318,1,2
1744359095.8268902,1,2
1744359095.8269455,1,2
